,Ceremony,Year,Class,CanonicalCategory,Category,Film,FilmId,Name,Nominees,Winner
0,1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Noose,tt0019217,Richard Barthelmess,Richard Barthelmess,
1,1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Patent Leather Kid,tt0018253,Richard Barthelmess,Richard Barthelmess,
2,1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Last Command,tt0019071,Emil Jannings,Emil Jannings,True
3,1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Way of All Flesh,tt0019553,Emil Jannings,Emil Jannings,True
4,1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,A Ship Comes In,tt0018389,Louise Dresser,Louise Dresser,
5,1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,7th Heaven,tt0018379,Janet Gaynor,Janet Gaynor,True
6,1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Street Angel,tt0019429,Janet Gaynor,Janet Gaynor,True
7,1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Sunrise,tt0018455,Janet Gaynor,Janet Gaynor,True
8,1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Sadie Thompson,tt0019344,Gloria Swanson,Gloria Swanson,
9,1,1928,Production,ART DIRECTION,ART DIRECTION,Sunrise,tt0018455,Rochus Gliese,Rochus Gliese,
10,1,1928,Production,ART DIRECTION,ART DIRECTION,The Dove,tt0017822,William Cameron Menzies,William Cameron Menzies,True
11,1,1928,Production,ART DIRECTION,ART DIRECTION,Tempest,tt0019451,William Cameron Menzies,William Cameron Menzies,True
12,1,1928,Production,ART DIRECTION,ART DIRECTION,7th Heaven,tt0018379,Harry Oliver,Harry Oliver,
13,1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Devil Dancer,tt0017806,George Barnes,George Barnes,
14,1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Magic Flame,tt0018129,George Barnes,George Barnes,
15,1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Sadie Thompson,tt0019344,George Barnes,George Barnes,
16,1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Sunrise,tt0018455,"Charles Rosher, Karl Struss","Charles Rosher, Karl Struss",True
17,1,1928,Directing,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Two Arabian Knights,tt0018515,Lewis Milestone,Lewis Milestone,True
18,1,1928,Directing,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Speedy,tt0019412,Ted Wilde,Ted Wilde,
19,1,1928,Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),7th Heaven,tt0018379,Frank Borzage,Frank Borzage,True
20,1,1928,Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),Sorrell and Son,tt0018429,Herbert Brenon,Herbert Brenon,
21,1,1928,Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),The Crowd,tt0018806,King Vidor,King Vidor,
23,1,1928,Production,VISUAL EFFECTS,ENGINEERING EFFECTS,Wings,tt0018578,Roy Pomeroy,Roy Pomeroy,True
25,1,1928,Title,BEST PICTURE,OUTSTANDING PICTURE,The Racket,tt0019304,The Caddo Company,The Caddo Company,
26,1,1928,Title,BEST PICTURE,OUTSTANDING PICTURE,7th Heaven,tt0018379,Fox,Fox,
27,1,1928,Title,BEST PICTURE,OUTSTANDING PICTURE,Wings,tt0018578,Paramount Famous Lasky,Paramount Famous Lasky,True
28,1,1928,Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Sunrise,tt0018455,Fox,Fox,True
29,1,1928,Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,The Crowd,tt0018806,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,
30,1,1928,Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Chang,tt0017743,Paramount Famous Lasky,Paramount Famous Lasky,
31,1,1928,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),The Jazz Singer,tt0018037,Alfred Cohn,Alfred Cohn,
32,1,1928,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Glorious Betsy,tt0018945,Anthony Coldeway,Anthony Coldeway,
33,1,1928,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),7th Heaven,tt0018379,Benjamin Glazer,Benjamin Glazer,True
34,1,1928,Writing,WRITING (Original Story),WRITING (Original Story),The Last Command,tt0019071,Lajos Biro,Lajos Biro,
35,1,1928,Writing,WRITING (Original Story),WRITING (Original Story),Underworld,tt0018526,Ben Hecht,Ben Hecht,True
36,1,1928,Writing,WRITING (Title Writing),WRITING (Title Writing),The Private Life of Helen of Troy,tt0017979,Gerald Duffy,Gerald Duffy,
39,1,1928,Special,SPECIAL AWARD,SPECIAL AWARD,The Jazz Singer,tt0018037,,Warner Bros.,True
40,1,1928,Special,SPECIAL AWARD,SPECIAL AWARD,The Circus,tt0018773,,Charles Chaplin,True
41,2,1929,Acting,ACTOR IN A LEADING ROLE,ACTOR,Thunderbolt,tt0020499,George Bancroft,George Bancroft,
42,2,1929,Acting,ACTOR IN A LEADING ROLE,ACTOR,In Old Arizona,tt0020018,Warner Baxter,Warner Baxter,True
43,2,1929,Acting,ACTOR IN A LEADING ROLE,ACTOR,Alibi,tt0019630,Chester Morris,Chester Morris,
44,2,1929,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Valiant,tt0020543,Paul Muni,Paul Muni,
45,2,1929,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Patriot,tt0019257,Lewis Stone,Lewis Stone,
46,2,1929,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Madame X,tt0020126,Ruth Chatterton,Ruth Chatterton,
47,2,1929,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Barker,tt0018674,Betty Compson,Betty Compson,
48,2,1929,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Letter,tt0020092,Jeanne Eagels,Jeanne Eagels,
49,2,1929,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Divine Lady,tt0019824,Corinne Griffith,Corinne Griffith,
50,2,1929,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Broadway Melody,tt0019729,Bessie Love,Bessie Love,
51,2,1929,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Coquette,tt0019788,Mary Pickford,Mary Pickford,True
52,2,1929,Production,ART DIRECTION,ART DIRECTION,The Patriot,tt0019257,Hans Dreier,Hans Dreier,
53,2,1929,Production,ART DIRECTION,ART DIRECTION,The Bridge of San Luis Rey,tt0019722,Cedric Gibbons,Cedric Gibbons,True
54,2,1929,Production,ART DIRECTION,ART DIRECTION,Dynamite,tt0019843,Mitchell Leisen,Mitchell Leisen,
55,2,1929,Production,ART DIRECTION,ART DIRECTION,Alibi,tt0019630,William Cameron Menzies,William Cameron Menzies,
56,2,1929,Production,ART DIRECTION,ART DIRECTION,The Awakening,tt0018666,William Cameron Menzies,William Cameron Menzies,
57,2,1929,Production,ART DIRECTION,ART DIRECTION,Street Angel,tt0019429,Harry Oliver,Harry Oliver,
58,2,1929,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Our Dancing Daughters,tt0019237,George Barnes,George Barnes,
59,2,1929,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,White Shadows in the South Seas,tt0019574,Clyde De Vinna,Clyde De Vinna,True
60,2,1929,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,In Old Arizona,tt0020018,Arthur Edeson,Arthur Edeson,
61,2,1929,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Four Devils,tt0018907,Ernest Palmer,Ernest Palmer,
62,2,1929,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Street Angel,tt0019429,Ernest Palmer,Ernest Palmer,
63,2,1929,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Divine Lady,tt0019824,John Seitz,John Seitz,
64,2,1929,Directing,DIRECTING,DIRECTING,Madame X,tt0020126,Lionel Barrymore,Lionel Barrymore,
65,2,1929,Directing,DIRECTING,DIRECTING,The Broadway Melody,tt0019729,Harry Beaumont,Harry Beaumont,
66,2,1929,Directing,DIRECTING,DIRECTING,In Old Arizona,tt0020018,Irving Cummings,Irving Cummings,
67,2,1929,Directing,DIRECTING,DIRECTING,The Divine Lady,tt0019824,Frank Lloyd,Frank Lloyd,True
68,2,1929,Directing,DIRECTING,DIRECTING,Drag,tt0019833,Frank Lloyd,Frank Lloyd,
69,2,1929,Directing,DIRECTING,DIRECTING,Weary River,tt0019557,Frank Lloyd,Frank Lloyd,
70,2,1929,Directing,DIRECTING,DIRECTING,The Patriot,tt0019257,Ernst Lubitsch,Ernst Lubitsch,
71,2,1929,Title,BEST PICTURE,OUTSTANDING PICTURE,Alibi,tt0019630,Feature Productions,Feature Productions,
72,2,1929,Title,BEST PICTURE,OUTSTANDING PICTURE,In Old Arizona,tt0020018,Fox,Fox,
73,2,1929,Title,BEST PICTURE,OUTSTANDING PICTURE,The Broadway Melody,tt0019729,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,True
74,2,1929,Title,BEST PICTURE,OUTSTANDING PICTURE,Hollywood Revue,tt0019993,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,
75,2,1929,Title,BEST PICTURE,OUTSTANDING PICTURE,The Patriot,tt0019257,Paramount Famous Lasky,Paramount Famous Lasky,
76,2,1929,Writing,WRITING (Adapted Screenplay),WRITING,In Old Arizona,tt0020018,Tom Barry,Tom Barry,
77,2,1929,Writing,WRITING (Adapted Screenplay),WRITING,The Valiant,tt0020543,Tom Barry,Tom Barry,
78,2,1929,Writing,WRITING (Adapted Screenplay),WRITING,The Cop,tt0018792,Elliott Clawson,Elliott Clawson,
79,2,1929,Writing,WRITING (Adapted Screenplay),WRITING,The Leatherneck,tt0020088,Elliott Clawson,Elliott Clawson,
80,2,1929,Writing,WRITING (Adapted Screenplay),WRITING,Sal of Singapore,tt0019348,Elliott Clawson,Elliott Clawson,
81,2,1929,Writing,WRITING (Adapted Screenplay),WRITING,Skyscraper,tt0019398,Elliott Clawson,Elliott Clawson,
82,2,1929,Writing,WRITING (Adapted Screenplay),WRITING,The Last of Mrs. Cheyney,tt0020081,Hans Kraly,Hans Kraly,
83,2,1929,Writing,WRITING (Adapted Screenplay),WRITING,The Patriot,tt0019257,Hans Kraly,Hans Kraly,True
84,2,1929,Writing,WRITING (Adapted Screenplay),WRITING,Our Dancing Daughters,tt0019237,Josephine Lovett,Josephine Lovett,
85,2,1929,Writing,WRITING (Adapted Screenplay),WRITING,A Woman of Affairs,tt0019591,Bess Meredyth,Bess Meredyth,
86,2,1929,Writing,WRITING (Adapted Screenplay),WRITING,Wonder of Women,tt0020603,Bess Meredyth,Bess Meredyth,
87,3,1930,Acting,ACTOR IN A LEADING ROLE,ACTOR,Disraeli,tt0019823,George Arliss,George Arliss,True
88,3,1930,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Green Goddess,tt0020938,George Arliss,George Arliss,
89,3,1930,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Big House,tt0020686,Wallace Beery,Wallace Beery,
90,3,1930,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Big Pond,tt0020690,Maurice Chevalier,Maurice Chevalier,
91,3,1930,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Love Parade,tt0020112,Maurice Chevalier,Maurice Chevalier,
92,3,1930,Acting,ACTOR IN A LEADING ROLE,ACTOR,Bulldog Drummond,tt0019735,Ronald Colman,Ronald Colman,
93,3,1930,Acting,ACTOR IN A LEADING ROLE,ACTOR,Condemned,tt0019785,Ronald Colman,Ronald Colman,
94,3,1930,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Rogue Song,tt0021307,Lawrence Tibbett,Lawrence Tibbett,
95,3,1930,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Devil's Holiday,tt0020823,Nancy Carroll,Nancy Carroll,
96,3,1930,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Sarah and Son,tt0021335,Ruth Chatterton,Ruth Chatterton,
97,3,1930,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Anna Christie,tt0020641,Greta Garbo,Greta Garbo,
98,3,1930,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Romance,tt0021310,Greta Garbo,Greta Garbo,
99,3,1930,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Divorcee,tt0020827,Norma Shearer,Norma Shearer,True
100,3,1930,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Their Own Desire,tt0020488,Norma Shearer,Norma Shearer,
101,3,1930,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Trespasser,tt0020514,Gloria Swanson,Gloria Swanson,
102,3,1930,Production,ART DIRECTION,ART DIRECTION,Bulldog Drummond,tt0019735,(William Cameron Menzies),William Cameron Menzies,
103,3,1930,Production,ART DIRECTION,ART DIRECTION,King of Jazz,tt0021025,Herman Rosse,Herman Rosse,True
104,3,1930,Production,ART DIRECTION,ART DIRECTION,The Love Parade,tt0020112,(Hans Dreier),Hans Dreier,
105,3,1930,Production,ART DIRECTION,ART DIRECTION,Sally,tt0020358,(Jack Okey),Jack Okey,
106,3,1930,Production,ART DIRECTION,ART DIRECTION,The Vagabond King,tt0021511,(Hans Dreier),Hans Dreier,
107,3,1930,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,All Quiet on the Western Front,tt0020629,(Arthur Edeson),Arthur Edeson,
108,3,1930,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Anna Christie,tt0020641,(William Daniels),William Daniels,
109,3,1930,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Hell's Angels,tt0020960,"(Gaetano Gaudio), (Harry Perry)","Gaetano Gaudio, Harry Perry",
110,3,1930,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Love Parade,tt0020112,(Victor Milner),Victor Milner,
111,3,1930,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,With Byrd at the South Pole,tt0020594,"Joseph T. Rucker, Willard Van Der Veer","Joseph T. Rucker, Willard Van Der Veer",True
112,3,1930,Directing,DIRECTING,DIRECTING,Anna Christie,tt0020641,Clarence Brown,Clarence Brown,
113,3,1930,Directing,DIRECTING,DIRECTING,Romance,tt0021310,Clarence Brown,Clarence Brown,
114,3,1930,Directing,DIRECTING,DIRECTING,The Divorcee,tt0020827,Robert Leonard,Robert Leonard,
115,3,1930,Directing,DIRECTING,DIRECTING,The Love Parade,tt0020112,Ernst Lubitsch,Ernst Lubitsch,
116,3,1930,Directing,DIRECTING,DIRECTING,All Quiet on the Western Front,tt0020629,Lewis Milestone,Lewis Milestone,True
117,3,1930,Directing,DIRECTING,DIRECTING,Hallelujah,tt0019959,King Vidor,King Vidor,
118,3,1930,Title,BEST PICTURE,OUTSTANDING PRODUCTION,All Quiet on the Western Front,tt0020629,Universal,Universal,True
119,3,1930,Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Big House,tt0020686,Cosmopolitan,Cosmopolitan,
120,3,1930,Title,BEST PICTURE,OUTSTANDING PRODUCTION,Disraeli,tt0019823,Warner Bros.,Warner Bros.,
121,3,1930,Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Divorcee,tt0020827,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,
122,3,1930,Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Love Parade,tt0020112,Paramount Famous Lasky,Paramount Famous Lasky,
123,3,1930,Production,SOUND RECORDING,SOUND RECORDING,The Big House,tt0020686,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director","Metro-Goldwyn-Mayer, Douglas Shearer",True
124,3,1930,Production,SOUND RECORDING,SOUND RECORDING,The Case of Sergeant Grischa,tt0020744,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)","RKO Radio, John Tribby",
125,3,1930,Production,SOUND RECORDING,SOUND RECORDING,The Love Parade,tt0020112,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)","Paramount Famous Lasky, Franklin Hansen",
126,3,1930,Production,SOUND RECORDING,SOUND RECORDING,Raffles,tt0021281,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)","United Artists, Oscar Lagerstrom",
127,3,1930,Production,SOUND RECORDING,SOUND RECORDING,Song of the Flame,tt0021404,"(First National Studio Sound Department, George Groves, Sound Director)","First National, George Groves",
128,3,1930,Writing,WRITING (Adapted Screenplay),WRITING,All Quiet on the Western Front,tt0020629,"(George Abbott), (Maxwell Anderson), (Del Andrews)","George Abbott, Maxwell Anderson, Del Andrews",
129,3,1930,Writing,WRITING (Adapted Screenplay),WRITING,The Big House,tt0020686,Frances Marion,Frances Marion,True
130,3,1930,Writing,WRITING (Adapted Screenplay),WRITING,Disraeli,tt0019823,(Julian Josephson),Julian Josephson,
131,3,1930,Writing,WRITING (Adapted Screenplay),WRITING,The Divorcee,tt0020827,(John Meehan),John Meehan,
132,3,1930,Writing,WRITING (Adapted Screenplay),WRITING,Street of Chance,tt0021420,(Howard Estabrook),Howard Estabrook,
133,4,1931,Acting,ACTOR IN A LEADING ROLE,ACTOR,A Free Soul,tt0021885,Lionel Barrymore,Lionel Barrymore,True
134,4,1931,Acting,ACTOR IN A LEADING ROLE,ACTOR,Skippy,tt0022397,Jackie Cooper,Jackie Cooper,
135,4,1931,Acting,ACTOR IN A LEADING ROLE,ACTOR,Cimarron,tt0021746,Richard Dix,Richard Dix,
136,4,1931,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Royal Family of Broadway,tt0021322,Fredric March,Fredric March,
137,4,1931,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Front Page,tt0021890,Adolphe Menjou,Adolphe Menjou,
138,4,1931,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Morocco,tt0021156,Marlene Dietrich,Marlene Dietrich,
139,4,1931,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Min and Bill,tt0021148,Marie Dressler,Marie Dressler,True
140,4,1931,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Cimarron,tt0021746,Irene Dunne,Irene Dunne,
141,4,1931,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Holiday,tt0020985,Ann Harding,Ann Harding,
142,4,1931,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,A Free Soul,tt0021885,Norma Shearer,Norma Shearer,
143,4,1931,Production,ART DIRECTION,ART DIRECTION,Cimarron,tt0021746,Max Rée,Max Rée,True
144,4,1931,Production,ART DIRECTION,ART DIRECTION,Just Imagine,tt0021016,"Stephen Goosson, Ralph Hammeras","Stephen Goosson, Ralph Hammeras",
145,4,1931,Production,ART DIRECTION,ART DIRECTION,Morocco,tt0021156,Hans Dreier,Hans Dreier,
146,4,1931,Production,ART DIRECTION,ART DIRECTION,Svengali,tt0022454,Anton Grot,Anton Grot,
147,4,1931,Production,ART DIRECTION,ART DIRECTION,Whoopee!,tt0021549,Richard Day,Richard Day,
148,4,1931,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Cimarron,tt0021746,Edward Cronjager,Edward Cronjager,
149,4,1931,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Morocco,tt0021156,Lee Garmes,Lee Garmes,
150,4,1931,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Right to Love,tt0021301,Charles Lang,Charles Lang,
151,4,1931,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Svengali,tt0022454,"Barney \""Chick\"" McGill","Barney \""Chick\"" McGill",
152,4,1931,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Tabu,tt0022458,Floyd Crosby,Floyd Crosby,True
153,4,1931,Directing,DIRECTING,DIRECTING,Cimarron,tt0021746,Wesley Ruggles,Wesley Ruggles,
154,4,1931,Directing,DIRECTING,DIRECTING,A Free Soul,tt0021885,Clarence Brown,Clarence Brown,
155,4,1931,Directing,DIRECTING,DIRECTING,The Front Page,tt0021890,Lewis Milestone,Lewis Milestone,
156,4,1931,Directing,DIRECTING,DIRECTING,Morocco,tt0021156,Josef Von Sternberg,Josef Von Sternberg,
157,4,1931,Directing,DIRECTING,DIRECTING,Skippy,tt0022397,Norman Taurog,Norman Taurog,True
158,4,1931,Title,BEST PICTURE,OUTSTANDING PRODUCTION,Cimarron,tt0021746,RKO Radio,RKO Radio,True
159,4,1931,Title,BEST PICTURE,OUTSTANDING PRODUCTION,East Lynne,tt0021826,Fox,Fox,
160,4,1931,Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Front Page,tt0021890,The Caddo Company,The Caddo Company,
161,4,1931,Title,BEST PICTURE,OUTSTANDING PRODUCTION,Skippy,tt0022397,Paramount Publix,Paramount Publix,
162,4,1931,Title,BEST PICTURE,OUTSTANDING PRODUCTION,Trader Horn,tt0022495,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,
167,4,1931,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Cimarron,tt0021746,Howard Estabrook,Howard Estabrook,True
168,4,1931,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),The Criminal Code,tt0021770,"Seton I. Miller, Fred Niblo, Jr.","Seton I. Miller, Fred Niblo Jr.",
169,4,1931,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Holiday,tt0020985,Horace Jackson,Horace Jackson,
170,4,1931,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Little Caesar,tt0021079,"Francis Faragoh, Robert N. Lee","Francis Faragoh, Robert N. Lee",
171,4,1931,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Skippy,tt0022397,"Joseph L. Mankiewicz, Sam Mintz","Joseph L. Mankiewicz, Sam Mintz",
172,4,1931,Writing,WRITING (Original Story),WRITING (Original Story),The Dawn Patrol,tt0020815,John Monk Saunders,John Monk Saunders,True
173,4,1931,Writing,WRITING (Original Story),WRITING (Original Story),The Doorway to Hell,tt0020836,Rowland Brown,Rowland Brown,
174,4,1931,Writing,WRITING (Original Story),WRITING (Original Story),Laughter,tt0021053,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart","Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",
175,4,1931,Writing,WRITING (Original Story),WRITING (Original Story),The Public Enemy,tt0022286,"John Bright, Kubec Glasmon","John Bright, Kubec Glasmon",
176,4,1931,Writing,WRITING (Original Story),WRITING (Original Story),Smart Money,tt0022403,"Lucien Hubbard, Joseph Jackson","Lucien Hubbard, Joseph Jackson",
183,5,1932,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Champ,tt0021730,Wallace Beery,Wallace Beery,True
184,5,1932,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Guardsman,tt0021931,Alfred Lunt,Alfred Lunt,
185,5,1932,Acting,ACTOR IN A LEADING ROLE,ACTOR,Dr. Jekyll and Mr. Hyde,tt0022835,Fredric March,Fredric March,True
186,5,1932,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Emma,tt0022854,Marie Dressler,Marie Dressler,
187,5,1932,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Guardsman,tt0021931,Lynn Fontanne,Lynn Fontanne,
188,5,1932,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Sin of Madelon Claudet,tt0022386,Helen Hayes,Helen Hayes,True
189,5,1932,Production,ART DIRECTION,ART DIRECTION,À Nous la Liberté,tt0022599,Lazare Meerson,Lazare Meerson,
190,5,1932,Production,ART DIRECTION,ART DIRECTION,Arrowsmith,tt0021622,Richard Day,Richard Day,
191,5,1932,Production,ART DIRECTION,ART DIRECTION,Transatlantic,tt0022500,Gordon Wiles,Gordon Wiles,True
192,5,1932,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Arrowsmith,tt0021622,Ray June,Ray June,
193,5,1932,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Dr. Jekyll and Mr. Hyde,tt0022835,Karl Struss,Karl Struss,
194,5,1932,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Shanghai Express,tt0023458,Lee Garmes,Lee Garmes,True
195,5,1932,Directing,DIRECTING,DIRECTING,Bad Girl,tt0021635,Frank Borzage,Frank Borzage,True
196,5,1932,Directing,DIRECTING,DIRECTING,The Champ,tt0021730,King Vidor,King Vidor,
197,5,1932,Directing,DIRECTING,DIRECTING,Shanghai Express,tt0023458,Josef Von Sternberg,Josef Von Sternberg,
198,5,1932,Title,BEST PICTURE,OUTSTANDING PRODUCTION,Arrowsmith,tt0021622,Samuel Goldwyn Productions,Samuel Goldwyn Productions,
199,5,1932,Title,BEST PICTURE,OUTSTANDING PRODUCTION,Bad Girl,tt0021635,Fox,Fox,
200,5,1932,Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Champ,tt0021730,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,
201,5,1932,Title,BEST PICTURE,OUTSTANDING PRODUCTION,Five Star Final,tt0021873,First National,First National,
202,5,1932,Title,BEST PICTURE,OUTSTANDING PRODUCTION,Grand Hotel,tt0022958,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,True
203,5,1932,Title,BEST PICTURE,OUTSTANDING PRODUCTION,One Hour with You,tt0023303,Paramount Publix,Paramount Publix,
204,5,1932,Title,BEST PICTURE,OUTSTANDING PRODUCTION,Shanghai Express,tt0023458,Paramount Publix,Paramount Publix,
205,5,1932,Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Smiling Lieutenant,tt0022074,Paramount Publix,Paramount Publix,
220,5,1932,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Arrowsmith,tt0021622,Sidney Howard,Sidney Howard,
221,5,1932,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Bad Girl,tt0021635,Edwin Burke,Edwin Burke,True
222,5,1932,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Dr. Jekyll and Mr. Hyde,tt0022835,"Percy Heath, Samuel Hoffenstein","Percy Heath, Samuel Hoffenstein",
223,5,1932,Writing,WRITING (Original Story),WRITING (Original Story),The Champ,tt0021730,Frances Marion,Frances Marion,True
224,5,1932,Writing,WRITING (Original Story),WRITING (Original Story),Lady and Gent,tt0023109,"Grover Jones, William Slavens McNutt","Grover Jones, William Slavens McNutt",
225,5,1932,Writing,WRITING (Original Story),WRITING (Original Story),The Star Witness,tt0022430,Lucien Hubbard,Lucien Hubbard,
226,5,1932,Writing,WRITING (Original Story),WRITING (Original Story),What Price Hollywood?,tt0023686,"Adela Rogers St. Johns, Jane Murfin","Adela Rogers St. Johns, Jane Murfin",
230,6,1933,Acting,ACTOR IN A LEADING ROLE,ACTOR,Berkeley Square,tt0023794,Leslie Howard,Leslie Howard,
231,6,1933,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Private Life of Henry VIII,tt0024473,Charles Laughton,Charles Laughton,True
232,6,1933,Acting,ACTOR IN A LEADING ROLE,ACTOR,I Am a Fugitive from a Chain Gang,tt0023042,Paul Muni,Paul Muni,
233,6,1933,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Morning Glory,tt0024353,Katharine Hepburn,Katharine Hepburn,True
234,6,1933,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Lady for a Day,tt0024240,May Robson,May Robson,
235,6,1933,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Cavalcade,tt0023876,Diana Wynyard,Diana Wynyard,
236,6,1933,Production,ART DIRECTION,ART DIRECTION,Cavalcade,tt0023876,William S. Darling,William S. Darling,True
237,6,1933,Production,ART DIRECTION,ART DIRECTION,A Farewell to Arms,tt0022879,"Hans Dreier, Roland Anderson","Hans Dreier, Roland Anderson",
